Timestamp,Score,What's your favorite kind of pie?
9/6/2021 11:08,,Pecan
9/6/2021 11:08,,Key lime
9/6/2021 11:08,,Pecan
9/6/2021 11:08,,Pizza
9/6/2021 11:08,,Apple
9/6/2021 11:11,,Apple
9/6/2021 11:11,,Apple
9/6/2021 11:11,,Apple
9/6/2021 11:11,,Key lime
9/6/2021 11:11,,Pecan
9/6/2021 11:11,,Apple
9/6/2021 11:11,,Apple
9/6/2021 11:11,,Key lime
9/6/2021 11:11,,Apple
9/6/2021 11:11,,Apple
9/6/2021 11:12,,"Berry (blueberry, strawberry, blackberry, mix)"
9/6/2021 11:13,,Pumpkin
9/6/2021 11:14,,Pumpkin
9/6/2021 11:16,,Pecan
9/6/2021 11:21,,Pecan
9/6/2021 11:22,,Apple
9/6/2021 11:23,,"Berry (blueberry, strawberry, blackberry, mix)"
9/6/2021 11:27,,"Berry (blueberry, strawberry, blackberry, mix)"
9/6/2021 11:30,,"Berry (blueberry, strawberry, blackberry, mix)"
9/6/2021 11:30,,Cherry
9/6/2021 11:33,,Apple
9/6/2021 11:36,,"Berry (blueberry, strawberry, blackberry, mix)"
9/6/2021 11:44,,Key lime
9/6/2021 12:02,,Apple
9/6/2021 12:17,,Pecan
9/6/2021 12:24,,Apple
9/6/2021 12:24,,Apple
9/6/2021 12:29,,Apple
9/6/2021 12:32,,Apple
9/6/2021 12:33,,Apple
9/6/2021 12:40,,Pecan
9/6/2021 12:42,,Key lime
9/6/2021 13:04,,Apple
9/6/2021 13:17,,Pecan
9/6/2021 13:17,,Cherry
9/6/2021 13:18,,Apple
9/6/2021 13:49,,Apple
9/6/2021 14:43,,Apple
9/6/2021 14:56,,Banana
9/6/2021 15:05,,Pecan
9/6/2021 15:48,,Apple
9/6/2021 16:03,,Apple
9/6/2021 16:08,,Pecan
9/6/2021 16:08,,Cherry
9/6/2021 16:49,,Chocolate
9/6/2021 17:21,,Apple
9/6/2021 17:42,,Key lime
9/6/2021 18:22,,Pecan
9/6/2021 18:55,,Pecan
9/6/2021 19:43,,Apple
9/6/2021 20:14,,Chocolate Vanilla
9/6/2021 21:10,,"Berry (blueberry, strawberry, blackberry, mix)"
9/6/2021 21:12,,Pecan
9/6/2021 21:18,,Pecan
9/6/2021 21:22,,Key lime
9/6/2021 21:22,,Key lime
9/6/2021 22:37,,Pumpkin
9/7/2021 0:51,,"Berry (blueberry, strawberry, blackberry, mix)"
9/7/2021 9:49,,Apple
9/7/2021 10:06,,Key lime
9/7/2021 10:36,,Pecan
9/7/2021 12:38,,Key lime
9/7/2021 18:41,,Apple
9/8/2021 10:57,,Pecan
9/8/2021 11:05,,Apple
9/8/2021 11:51,,Apple
9/8/2021 11:51,,Apple
9/8/2021 11:52,,Apple
9/8/2021 11:52,,"Berry (blueberry, strawberry, blackberry, mix)"
9/8/2021 12:50,,Apple
9/8/2021 12:53,,Chocolate
9/8/2021 12:53,,Pecan
9/10/2021 12:22,,Pecan
9/10/2021 12:24,,Apple
